name,description,source
怔忡自汗,心氣不足也。人參半兩，當歸半兩，用 豬腰子二個，以水二碗，煮至一碗半，取腰子細切，人參、當歸同煎至八分，空心吃腰子，以汁送下。其滓焙乾爲末，以山藥末作糊丸綠豆大。每服五十丸，食遠棗湯下，不過兩服即癒。此昆山神濟大師方也，一加乳香二錢。（王 《百一選方》）,人參
心下結氣,凡心下硬，按之則無，常覺膨滿，多食則吐，氣引前後，噫呃不除，由思慮過多，氣不以時而行則結滞，謂之結氣。人參一兩，橘皮（去白）四兩。爲末，煉蜜丸梧子大，每米飲下五六十丸。（《聖惠方》）,人參
房後困倦, 人參七錢，陳皮一錢，水一盞半，煎八分，食前溫服，日再服，千金不傳。（趙永庵方,人參
虛勞 發熱,愚魯湯∶用上黨人參、銀州柴胡各三錢，大棗一枚，生薑三片。水一鍾半，煎七分，食遠溫服，日再服，以癒爲度。（《奇效良方》）,人參
肺熱聲啞,人參二兩，诃子一兩，爲末噙咽。,人參
肺虛久咳,人參（末）二兩，鹿角膠（炙，研）一兩。每服三錢，用薄荷、豉湯 一盞，蔥少許，入铫子煎一、二沸，傾入盞内。遇咳時，溫呷三、五口，甚佳。（《食療本草》）,人參
止嗽化痰,人參（末）一兩，明礬二兩。以酽醋二升，熬礬成膏，入參末、煉蜜和收。,人參
小兒喘咳,發熱自汗吐紅，脈虛無力者。人參、天花粉等分。每服半錢，蜜水調下，以瘥爲度。（《經濟方》）,人參
喘咳嗽血,咳喘上氣，喘急，嗽血吐血，脈無力者。人參末每服三錢，雞子清調之，五更初服便睡，去枕仰卧，隻一服癒。年深者，再服。咯血者，服盡一兩甚好。一方以烏雞子水磨千遍，自然化作水，調藥尤妙。忌醋、鹹、腥、醬，面酢、醉飽，將息乃佳。（沈存中《靈苑方》）,人參
咳嗽吐血,人參、黃 、飛羅面各一兩，百合五錢。爲末，水丸梧子大。每服五十丸，食前茅根湯下。《朱氏集驗方》∶用人參、乳香、辰砂等分。爲末，烏梅肉和丸彈子大。每白湯化下一丸，日一服。虛勞吐血甚者，先以十灰散止之，其人必困倦，法當補陽生陰，獨參湯主之。,人參
吐血下血,因七情所感，酒色内傷，氣血妄行，口鼻俱出，心肺脈破，血如湧泉，須臾不救。用人參（焙）、側柏葉（蒸，焙）、荊芥穗（燒存性）各五錢。爲末。用二錢，入飛羅面二錢，以新汲水調如稀糊服，少傾再啜，一服立止。（華佗《中藏經》）,人參
衄血不止,人參、柳枝（寒食採者）等分，爲末。每服一錢，東流水服，日三服。無柳枝，用蓮子心。,人參
齒縫出血,人參、赤茯苓、麥門冬各二錢。水一鍾，煎七分，食前溫服，日再。,人參
陰虛尿血,人參（焙）、黃 （鹽水炙）等分。爲末。用紅皮大蘿蔔一枚，切作四片，以蜜二兩 ，將蘿蔔逐片蘸炙，令乾再炙，勿令焦，以蜜盡爲度。每用一片，蘸藥食之，仍以鹽湯送下以瘥爲度。（《三因方》）,人參
沙淋石淋,人參（焙）、黃 （鹽水炙）等分。爲末。用紅皮大蘿蔔一枚，切作四片，以蜜二兩 ，將蘿蔔逐片蘸炙，令乾再炙，勿令焦，以蜜盡爲度。每用一片，蘸藥食之，仍以鹽湯送下以瘥爲度。（《三因方》）,人參
消渴引飲,人參爲末，雞子清調服一錢，日三、四服。《集驗》∶用人參、栝蔞根等分。生研爲末，煉蜜丸梧子大。每服百丸，食前麥門冬湯下，日二服，以癒爲度。名玉壺丸。忌酒面炙爆。《鄭氏家傳,人參
消渴方,人參一兩，粉草二兩。以雄豬膽汁浸炙，腦子半錢。爲末，蜜丸芡子大。每嚼一丸，冷水下。《聖濟總錄》∶用人參一兩，葛粉二兩。爲末。發時以 豬湯一升，入藥三錢，蜜二兩，慢火熬至三合，狀如黑饧，以瓶收之，每夜以一匙含咽，不過三服，取效也,人參
虛瘧寒熱,人參二錢二分，雄黃五錢。爲末，端午日用粽尖搗丸梧子大。發日侵晨，井華水吞下七丸，發前再服。忌諸般熱物，立效,人參
虛瘧寒熱,加神曲等分。（《丹溪纂要》）,人參
冷痢厥逆、六脈沉細,人參、大附子各一兩半。每服半兩，生薑十片，丁香十五粒，粳米一撮。水二盞，煎七分，空心溫服。（《經驗方》）,人參
下痢噤口,人參、蓮肉各三錢。以井華水二盞，煎一盞，細細呷之。或加薑汁炒黃連三錢。（《經驗良方》）,人參
老人虛痢不止，不能飲食,上黨人參一兩，鹿角（去皮，炒研）五錢。,人參
傷寒壞證,凡傷寒時疫，不問陰陽，老幼妊婦，誤服藥餌，困重垂死，脈沉伏，不省人事，七日以後，皆可服之，百不失一。此名奪命散，又名復脈湯。人參一兩，水二鍾，緊火煎一鍾，以井水浸冷服之，少頃鼻梁有汗出，脈復立瘥,人參
蘇韬光侍郎雲,用此救數十人。予作清流宰，縣 申屠行輔之子婦患時疫三十餘日，已成壤病，令服此藥而安。（王 《百一選方》）,人參
傷寒厥逆,身有微熱，煩躁，六脈沉細微弱，此陰極發躁也,人參
無憂散,用人參半兩。水一鍾，煎七分，調牛膽南星末二錢，熱服，立蘇。（《三因方》）,人參
夾陰傷寒,先因欲事，後感寒邪，陽衰陰盛，六脈沉伏，小腹絞痛，四肢逆冷，嘔吐清水，不假此藥，無以回陽。人參、乾薑（炮）各一兩，生附子一枚（破作八 片）。水四升半，煎一升，頓服。脈出身溫，即癒。（吳綬《傷寒蘊要》）,人參
筋骨風痛,人參四兩（酒浸三日，曬乾），土茯苓一斤，山慈菇一兩。爲末，煉蜜丸梧子大。每服一百丸，食前 米湯下。（《經驗方》）,人參
小兒風痫螈 ,用人參、蛤粉、辰砂等分。爲末，以 豬心血和丸綠豆大。每服五十丸，金銀湯下，一日二服，大有神效。（《衛生寶鑑》）,人參
脾虛慢驚,黃 湯，見黃 發明下,人參
痘疹險證,保元湯，見黃 發明下,人參
驚後瞳斜,小兒驚後瞳人不正者。人參、阿膠（糯米炒成珠）各一錢。水一盞，煎七分，溫服，日再服。癒乃止，效。（《直指方》）,人參
小兒脾風多困,人參、冬瓜仁各半兩，南星一兩。漿水煮過，爲末。每用一錢，水半盞，煎二、三分，溫服。（《本事方》）,人參
酒毒目盲,一人形實，好飲熱酒，忽病目盲而脈澀，此熱酒所傷，胃氣污濁，血死其中而然。以蘇木煎湯，調人參末一錢服。次日鼻及兩掌皆紫黑，此滞血行矣。再以四物湯，加蘇木、桃仁、紅花、陳皮，調人參末服，數日而癒。（《丹溪纂要》）,人參
酒毒生疽,一婦嗜酒，胸生一疽，脈緊而澀。用酒炒人參、酒炒大黃，等分爲末，薑湯服一錢，得睡汗出而癒。效。（《丹溪醫案》）,人參
狗咬風傷腫痛,人參置桑柴炭上燒存性，以碗覆定，少頃爲末，摻之，立瘥。（《經驗後方》）,人參
蜈蚣咬傷,嚼人參塗之。（《醫學集成》）,人參
蜂虿螫傷,人參末敷之。（《證治要訣》）,人參
脅破腸出,急以油抹入，煎人參、枸杞汁淋之，内吃羊腎粥，十日癒。（危氏《得效方》）,人參
氣奔怪疾,方見虎杖。,人參
肺熱咳嗽,沙參半兩。水煎服之。（《衛生易簡方》）,沙參
猝得疝氣,小腹及陰中相引痛如絞，自汗出，欲死者。沙參，搗篩爲末，酒服方寸匕，立瘥。（《肘後方》）,沙參
婦人白帶,多因七情内傷或下元虛冷所致。沙參爲末，每服二錢，米飲調下。《證治要訣》）,沙參
強中消渴,豬腎荠 湯∶治強中之病，莖長興盛，不交精液自出，消渴之後，即發癰疽。皆由恣意色欲，或餌金石所致，宜此以制腎中熱也。用豬腎一具，荠、石膏各三兩，人參、茯苓、磁石、知母、葛根、黃芩、栝蔞根、甘草各二兩，黑大豆一升，水一鬭半，先煮豬腎、大豆，取汁一鬭，去滓下藥，再煮三升，分三服。後人名爲石子荠湯,荠
又荠 丸,用荠 、大豆、茯神、磁石、栝蔞根、熟地黃、地骨皮、玄參、石斛、鹿茸各一兩，人參、沉香各半兩。爲末，以豬肚治淨煮爛，杵和丸梧子大。每服七十丸，空心鹽湯下。（并《千金方》）,荠
疔瘡腫毒,生荠 根搗汁，服一合，以滓敷之，不過三度。（《千金翼》）,荠
面上 ,荠 、肉桂各一兩。爲末。每用方寸匕，酢漿服之，日一服。又滅瘢痣。（《聖濟總錄》）,荠
解諸蠱毒,荠 根搗末，飲服方寸匕，立瘥。（陳延之《短劇方》）,荠
解鉤吻毒,鉤吻葉與芹葉相似，誤食之殺人。惟以荠 八兩，水六升，煮取三升，每服五合，日五服。（仲景《金匱玉函》）,荠
解五石毒,荠 生搗汁，多服之，立瘥。（蘇頌《圖經》）,荠
胸滿不痛,桔梗、枳殼等分。水二鍾，煎一鍾，溫服。（《南陽活人書》）,桔梗
傷寒腹脹,陰陽不和也，桔梗半夏湯主之。桔梗、半夏、陳皮各三錢，薑五片。,桔梗
痰嗽喘急,桔梗一兩半。爲末。用童子小便半升，煎四合，去滓，溫服。（《簡要濟眾方》）,桔梗
肺癰咳嗽,胸滿振寒，脈數咽乾，不渴，時出濁唾腥臭，久久吐膿如粳米粥者，桔梗湯主之。桔梗一兩，甘草二兩。水三升，煮一升，分溫再服。朝暮吐膿血則瘥。（張仲景《金匱玉函方》）,桔梗
喉痹毒氣,桔梗二兩。水三升，煎一升，頓服。（《千金方》）,桔梗
少陰咽痛,少陰證，二、三日，咽痛者，可與甘草湯；不瘥者，與桔梗湯主之。桔梗一兩，甘草二兩。水三升，煮一升，分服。（張仲景《傷寒論》）,桔梗
口舌生瘡,少陰證，二、三日，咽痛者，可與甘草湯；不瘥者，與桔梗湯主之。桔梗一兩，甘草二兩。水三升，煮一升，分服。（張仲景《傷寒論》）,桔梗
齒 腫痛,桔梗、薏苡仁等分。,桔梗
骨槽風痛，牙根腫痛,桔梗爲末，棗瓤和丸皂子大。綿裹咬之。仍以荊芥湯漱之。（《經驗後方》）,桔梗
牙疳臭爛,桔梗、茴香等分。燒研，敷之。（《衛生易簡方》）,桔梗
肝風眼黑,目睛痛，肝風盛也，桔梗丸主之。桔梗一斤，黑牽牛（頭末）三兩，爲末，蜜丸梧 子大。每服四十丸，溫水下，日二服。（《保命集》）,桔梗
鼻出衄血,桔梗爲末，水服方寸匕，日四服。一加生犀角屑。（《普濟方》）,桔梗
吐血下血,打擊瘀血在腸内，久不消，時發動者。桔梗爲末，米湯下一刀圭。（《肘後要方》）中蠱下血如雞肝，晝夜出血石餘，四臟皆損，惟心未毀，或鼻破將死者。苦桔梗爲末，以酒服方寸匕，日三服。不能下藥，以物拗口灌之。,桔梗
妊娠中惡，心腹疼痛,桔梗一兩（锉）。水一鍾，生薑三片，煎六分，溫服。（《聖惠方》）,桔梗
小兒客忤，死不能言,桔梗（燒研）三錢，米湯服之。仍吞麝香少許。（張文仲《備急方》）,桔梗
長松酒,滋補一切風虛，乃廬山休休子所傳。長松一兩五錢（狀似獨活而香，乃酒中聖藥也）。熟地黃八錢，生地黃、黃 （蜜炙）、陳皮各七錢，當歸、厚朴、黃柏各五錢，白芍藥（煨）、人參、枳殼各四錢，蒼朮（米泔制）、半夏（制）、天門冬、麥門冬、砂仁、黃連各三錢，木香、蜀椒、胡桃仁各二錢，小紅棗肉八個，老米一撮，燈心（五寸長）,長松
服食法,《聖惠方》∶用黃精根莖不限多少，細锉陰乾搗末。每日水調末服，任多少。一年内變老爲少，久久成地仙。 ,黃精
補肝明目,黃精二斤，蔓菁子一斤（淘），同和，九蒸九曬，爲末。空心每米飲下二錢，日二服，延年益夀。（《聖惠方》）,黃精
大風癩瘡,營氣不清，久風入脈，因而成癩，鼻壞色敗、皮膚癢潰。用黃精根（去皮，洗淨）二斤，日中曝令軟，納粟米飯甑中，同蒸至二鬭米熟，時時食之。（《聖濟總錄》）,黃精
補虛精氣,黃精、枸杞子等分。搗作餅，日乾爲末，煉蜜丸梧子大。每湯下五十丸。（《奇效良方》）,黃精
服食法,二月、九月採葳蕤根，切碎一石，以水二石煮之，從旦至夕，以手 爛，布囊榨取汁，熬稠。其渣曬爲末，同熬至可丸，丸如雞頭子大。每服一丸，白湯下，日三服。導氣脈，強筋骨，治中風濕毒，去面皺顔色，久服延年。（ 仙《神隱書》）,葳蕤
赤眼澀痛,葳蕤、赤芍藥、當歸、黃連等分。煎湯，薰洗。（《衛生家寶方》）,葳蕤
眼見黑花，赤痛昏暗,甘露湯∶用葳蕤（焙）四兩。每服二錢，水一盞，入薄荷二葉，生薑一片，蜜少許，同煎七分，卧時溫 服，日一服。（《聖濟總錄》）,葳蕤
小便猝淋,葳蕤一兩，芭蕉根四兩。水二大碗，煎一碗半，入滑石二錢，分三服。（《太平聖惠方》）,葳蕤
發熱口乾，小便澀,用葳蕤五兩，煎汁飲之。（《外台秘要》）,葳蕤
乳石發熱,葳蕤三兩，炙甘草二兩，生犀角一兩。水四升，煮一升半，分三服。（《聖惠方》）,葳蕤
痫後虛腫,小兒痫病瘥後，血氣上虛，熱在皮膚，身面俱腫。葳蕤、葵子、龍膽、茯苓、前胡等分，爲末。每服一錢，水煎服。（《聖濟總錄》）,葳蕤
補益勞傷，精敗面黑,用苁蓉四兩，水煮令爛，薄切細研精羊肉，分爲四度，下五味，以米煮粥空心食。（《藥性論》）,肉苁蓉
腎虛白濁,肉苁蓉、鹿茸、山藥、白茯苓等分，爲末，米糊丸梧子大，每棗湯下三十丸。（《聖濟總錄》）汗多便秘，老人虛人皆可用。肉苁蓉（酒浸，焙）二兩，研沉香末一兩。爲末，麻子仁汁打糊，丸梧子大。每服七十丸，白湯下。（《濟生方》）,肉苁蓉
消中易饑,肉苁蓉、山茱萸、五味子爲末。蜜丸梧子大。每鹽酒下二十丸。（《醫學指南》）,肉苁蓉
破傷風病，口噤身強,肉苁蓉切片曬乾，用一小盞，底上穿定，燒煙于瘡上熏之，累效。（《衛生總微》）,肉苁蓉
陽事不興,栗當（好者）二斤（即列當）。搗篩畢，以好酒一鬭浸之經宿，随性日飲之。,列當
消風化痰，清利頭目，寬胸利膈。治心忪煩悶，頭暈欲倒，項急，肩背拘倦，神 二兩,爲末，煉蜜丸如芡子大。每食後嚼一丸，茶、酒任下。（《普濟方》）,赤箭
腰腳疼痛,天麻、半夏、細辛各二兩。絹袋二個，各盛藥令勻，蒸熱，交互熨痛處。汗出則癒。數日再熨。,赤箭
服朮法,烏髭發，駐顔色，壯筋骨，明耳目，除風氣，潤肌膚，久服令人輕健。蒼朮不計多少，米泔水浸三日，逐日換水，取出刮去黑皮，切片曝乾，慢火炒黃，細搗爲末。每一斤，用蒸過白茯苓末半斤，煉蜜和丸梧子大，空心卧時熱水下十五丸。别用朮末六兩，甘草末一兩，拌和作湯點之，吞丸尤妙。忌桃、李、雀、蛤，及三白、諸血。（《經驗方》）,朮
除風濕，健脾胃，變白駐顔，補虛損,蒼朮新者，刮去皮，薄切，米泔水浸二日，一日一換，取出，以井華水浸過二寸，春、秋五日，夏三日，冬七日，漉出，以生絹袋盛之，放在一半原水中，揉洗津液出，紐乾。將渣又搗爛，袋盛于一半原水中，揉至汁盡爲度。將汁入大砂鍋中，慢火熬成膏。每一斤，入白蜜四兩，熬二炷香。每膏一斤，入水澄白茯苓末半斤，攪勻瓶收。每服三匙，清早、臨卧各一服，以溫酒送下。忌醋及酸物、桃、李、雀、蛤、菘菜、首魚等物。吳球《活人心統,朮
治脾經濕氣，少食，足腫無力，傷食，酒色過度，勞逸有傷，骨熱,用鮮白蒼朮二十斤，浸，刮去粗皮，曬切，以米泔浸一宿，取出，同溪水一石，大砂鍋慢火煎半乾，去渣。再入石楠葉三斤（刷去紅衣），楮實子一斤，川當歸半斤，甘草四兩，切，同煎黃色，濾去滓，再煎 ,朮
疏風順氣養腎，治腰腳濕氣痹痛,蒼朮一斤（洗刮淨），分作四分，用酒、醋、米泔、鹽水各浸三日，曬乾。又分作四分，用川椒紅、茴香、補骨脂、黑牽牛各一兩，同炒香，揀去不用，隻取朮研末，醋糊丸梧子大。每服五十丸，空心鹽酒送下。五十歲後，加沉香末一兩。,朮
蒼朮散,治風濕，常服壯筋骨，明目。蒼朮一斤，粟米泔浸過，竹刀刮去皮。半斤以無灰酒浸，半斤以童子小便浸，春五、夏三、秋七、冬十日，取出。淨地上掘一坑，炭火 赤，去炭，將浸藥酒，小便傾入坑内，卻放朮在中，以瓦器蓋定，泥封一宿，取出爲末。每服一錢，空心溫酒或鹽湯下。,朮
六斤，分作六分,一斤，倉米泔浸二日，炒；一斤，酒浸二日，炒；一斤，青鹽半斤炒黃，去鹽；一斤，小茴香四兩炒黃，去茴；一斤，大茴香四兩炒黃，去茴；一斤，用桑椹子汁浸二日，炒。取朮爲末。每服三錢，空心溫酒下。,朮
燥濕養脾，助胃固真,茅山蒼朮（刮淨）一斤，分作四分 一兩炒。并揀朮研末，酒煮面，糊丸梧子大。每空心米飲下五十丸。《乾坤生意,朮
治元臟久虛，遺精白濁，婦人赤白帶下崩漏,金州蒼朮（刮淨）一斤，分作四分∶一分，川椒一兩炒；一分，破故紙一兩炒；一分，茴香、食鹽各一兩炒；一分，川楝肉一兩炒。取淨朮爲末，入白茯苓末二兩，酒洗當歸末二兩，酒煮，面糊丸梧子大。每空心鹽酒下五十丸。,朮
一斤，分作四分,一分，川椒一兩炒；一分，破故紙一兩炒；一分，茴香、食鹽各一兩炒；一分，川楝肉一兩炒。取淨朮爲末，入白茯苓末二兩，酒洗當歸末二兩，酒煮，面糊丸梧子大。每空心鹽酒下五十丸。,朮
治元臟久虛，遺精白濁五淋，及小腸膀胱疝氣，婦人赤白帶下，血崩便血等疾，以小便頻數爲效,好蒼朮（刮淨）一斤，分作四分∶一分，小茴香、食鹽各一兩，同炒；一分，川椒、補骨脂各一兩，同炒；一分，川烏頭、川楝子肉各一兩，同炒；一分，用醇醋、老酒各半斤，同煮乾焙，連同炒藥通爲末，用酒煮糊丸梧子大。每服五十丸，男以溫酒，女以醋湯，空心下。此高司法方也。（王 《百一選方》）,朮
一斤，分作四分,一分，小茴香、食鹽各一兩，同炒；一分，川椒、補骨脂各一兩，同炒；一分，川烏頭、川楝子肉各一兩，同炒；一分，用醇醋、老酒各半斤，同煮乾焙，連同炒藥通爲末，用酒煮糊丸梧子大。每服五十丸，男以溫酒，女以醋湯，空心下。此高司法方也。（王 《百一選方》）,朮
補虛損，固精氣，烏髭發,此鐵甕城申先生方也，久服令人有子。茅山蒼朮（刮淨）一斤（分作四分，用酒、醋、米泔、鹽湯各浸七日，曬研），川椒紅、小茴香各四兩（炒研 ,朮
滋陰降火，開胃進食，強筋骨，去濕熱,白蒼朮（刮淨）一斤（分作四分∶一分，川椒一兩炒；一分，破故紙一兩炒；一分，五味子一兩炒；一分，川芎 一兩炒，隻取朮研末），川柏皮四斤（分作四分∶一斤，酥炙；一斤，人乳汁炙；一斤，童尿炙；一斤，米泔炙，各十二次，研末）。和勻，煉蜜丸梧子大。每服三十丸，早用酒，午用茶，晚用白湯下。（《積善堂方》）,朮
補脾益腎,茅山蒼朮（刮淨，米泔浸軟，切片）四斤（一斤，酒浸焙；一斤，醋浸焙；一斤，鹽四兩炒；一斤，椒四兩炒），赤、白何首烏各二斤（泔浸，竹刀刮切，以黑豆、紅棗各五升，同蒸至豆爛，曝乾），地骨皮（去骨）一斤。各取淨末，以桑椹汁和成劑，鋪盆内，汁高三指，日曬夜露，取日月精華，待乾，以石臼搗末，煉蜜和丸梧子大。每空心酒服一百丸。此皇甫敬之方也。（王海藏《醫壘元戎》）,朮
治脾腎氣虛，添補精髓，通利耳目,蒼朮一斤。米泔水浸，春、夏五日，秋、冬七日，逐日換水，竹刀刮皮切曬，石臼爲末，棗肉蒸，和丸梧子大。每服三、五十丸，棗湯空心服。（《奇效良方》）補脾滋腎、生精強骨，真仙方也。蒼朮（去皮）五斤（爲末，米泔水漂，澄取底用），脂麻二升半（去殼研爛，絹袋濾去渣）。澄漿拌朮，曝乾。每服三錢，米湯或酒空心調服。（《孫氏面黃食少∶男婦面無血色，食少嗜卧。蒼朮一斤，熟地黃半斤，乾薑（炮）冬一兩（春、秋 小兒癖疾∶蒼朮四兩，爲末。羊肝一具，竹刀批開，撒朮末，線縛，入砂鍋煮熟，搗作丸服。（《生生編》）,朮
好食生米,男子、婦人因食生熟物留滞腸胃，遂至生蟲，久則好食生米，否則終日不樂，至憔悴萎黃，不思飲食，以害其生。用蒼朮米泔水浸一夜，锉焙爲末，蒸餅丸梧子大。每服五十丸，食前米飲下，日三服。益昌伶人劉清嘯，一娼名曰花翠，年逾笄病此。惠民局監趙尹，以此治之，兩旬而癒。蓋生米留滞，腸胃受濕，則谷不磨而成此疾，蒼朮能去濕暖胃消谷也。（楊氏《家藏經驗方》）腹中虛冷，不能飲食，食輒不消，羸弱生病。朮二斤，曲一斤。,朮
暑月暴瀉,壯脾溫胃，及療飲食所傷,朮
曲朮丸,用神曲（炒）、蒼朮（米泔浸一夜，焙）等分爲末，糊丸梧子大。每服三、五十丸，米飲下。,朮
飧瀉久痢,椒朮丸∶用蒼朮二兩，川椒一兩。爲末，醋糊丸梧子大。每服二十丸，食前溫水下。惡痢久者，加桂。（《保命集》）,朮
脾濕下血,蒼朮二兩，地榆一兩。分作二服，水二盞，煎一盞，食前溫服。久痢虛滑，以此下桃花丸。（《保命集》）。,朮
腸風下血,蒼朮不拘多少，以皂角 濃汁浸一宿，煮乾，焙研爲末，面糊丸如梧子大。,朮
濕氣身痛,蒼朮泔浸切，水煎，取濃汁熬膏，白湯點服。（《簡便方》）補虛明目、健骨和血。蒼朮（泔浸）四兩，熟地黃（焙）二兩。爲末，酒糊丸梧子大。每溫酒下三、五十丸，日三服。（《普濟方》）,朮
青盲雀目,《聖惠方》∶用蒼朮四兩，泔浸一夜，切焙研末。每服三錢，豬肝三兩，劈開摻藥在内，紮定，入粟米一合，水一碗，砂鍋煮熟，熏眼，臨卧食肝飲汁，不拘大人、小兒皆治,朮
青盲雀目,不計時月久近。用蒼朮二兩，泔浸，焙搗爲末。每服一錢，以好羊子肝一斤，竹刀切破，摻藥在内，麻紮，以粟米泔煮熟，待冷食之，以癒爲度。,朮
眼目昏澀,蒼朮半斤（泔浸七日，去皮切焙），木賊各二兩。爲末。每服一錢，茶、酒任下。,朮
男子諸風,四寶丹∶用金毛狗脊（鹽泥固濟， 紅去毛）、蘇木、萆 、川烏頭（生用）,狗脊
鹿茸丸,用金毛狗脊（燎去毛）、白蔹各一兩，鹿茸（酒蒸，焙）二兩。爲末，用艾煎醋汁打糯米糊丸梧子大。每服五十丸，空心溫酒下。（《濟生方》）,狗脊
固精強骨,金毛狗脊、遠誌肉、白茯神、當歸身等分。爲末，煉蜜丸梧子大。每酒服五十丸。（《集簡方》）病後足腫，但節食以養胃氣。外用狗脊，煎湯漬洗。（吳綬《蘊要》）,狗脊
鼻衄不止,貫眾根末，水服一錢。（《普濟方》）,貫眾
諸般下血,腸風酒痢，血痔鼠痔下血。黑狗脊，黃者不用，須内肉赤色者，即本草貫眾也。去皮毛，锉焙爲末。每服二錢，空心米飲下。或醋糊丸梧子大，每米飲下三、四十丸。,貫眾
女人血崩,貫眾半兩，煎酒服之，立止。（《集簡方》）,貫眾
産後亡血,過多，心腹徹痛者。用貫眾狀如刺 者一個，全用不锉，隻揉去毛及花萼，以 赤白帶下∶年深，諸藥不能療者，用上方治之亦驗，名獨聖湯。方同上。年深咳嗽出膿血。貫眾、蘇方木等分，每服三錢，水一盞，生薑三片，煎服，日二服。久咳，漸成勞瘵。,貫眾
痘瘡不快,快斑散∶用貫眾、赤芍藥各一錢，升麻、甘草各五分。入淡竹葉三片，水一盞半，煎七分，溫服。（王海藏方）,貫眾
頭瘡白秃,貫眾、白芷爲末，油調塗之,貫眾
頭瘡白秃,貫眾燒末，油調塗。（《聖惠方》）,貫眾
漆瘡作癢,油調貫眾末，塗之。（《千金方》）,貫眾
雞魚骨哽,貫眾、縮砂、甘草等分。爲粗末，綿包少許，含之咽汁，久則随痰自出。（《普濟方》）,貫眾
解輕粉毒,齒縫出血，臭腫。貫眾、黃連各半兩。煎水，入冰片少許，時時漱之。（陸氏《積德堂方》）,貫眾
血痢不止,鳳尾草根（即貫眾）五錢，煎酒服。陳解元吉言所傳。（《集簡方》）,貫眾
便毒腫痛,貫眾，酒服二錢，良。（《多能鄙事》）,貫眾
仙靈脾酒,益丈夫興陽，理腰膝冷。用淫羊藿一斤，酒一鬭，浸三日，逐時飲之。（《食醫心鏡》）偏風不遂、皮膚不仁，宜服,淫羊藿
仙靈脾酒,仙靈脾一斤，細锉，生絹袋盛，于不津器中，用無灰酒二鬭浸之，重封，春、夏三日、秋、冬五日後，每日暖飲，常令醺然，不得大醉，酒盡再合，無不效驗。合時，切忌雞、犬、見。（《聖惠方》）三焦咳嗽，腹滿不飲食，氣不順。仙靈脾、覆盆子、五味子（炒）各一兩，爲末，煉蜜丸梧子大。每薑茶下二十丸。,淫羊藿
目昏生翳,仙靈脾，生王瓜（即小栝蔞紅色者）等分，爲末。每服一錢，茶下，日二服。,淫羊藿
用羊子肝一枚，切 痘疹入目,仙靈脾、威靈仙等分，爲末。每服五分，米湯下。（《痘疹便覽》）,淫羊藿
牙齒虛痛,仙,淫羊藿
壯筋骨，益精神，明目，黑髭須,仙茅二斤（糯米泔浸五日，去赤水，夏月浸三 車前子十二兩，白茯苓（去皮）、茴香（炒）、柏子仁（去殼）各八兩，生地黃（焙）、熟地黃（焙）各四兩。爲末，酒煮糊丸如梧子大。每服五十丸，食前溫酒下，日二服。（《聖濟總錄》）定喘下氣，補心腎,仙茅
神秘散,用白仙茅半兩（米泔浸三宿，曬炒），團參二錢半，阿膠一兩半（炒），雞 一兩（燒）。爲末。每服二錢，糯米飲空心下，日二服。（《三因方》）,仙茅
諸毒鼠 ,玄參漬酒，日日飲之。（《開寶本草》）,玄參
年久瘰 ,生玄參，搗敷上，日二易之。（《廣利方》）,玄參
赤脈貫瞳,玄參爲末，以米泔煮豬肝，日日蘸食之。（《濟急仙方》）,玄參
發斑咽痛,玄參升麻湯∶用玄參、升麻、甘草各半兩。水三盞，煎一盞半，溫服。（《南陽活人書》）,玄參
急喉痹風,不拘大人小兒。玄參、鼠粘子（半生半炒）各一兩，爲末。新水服一盞，立瘥。（《聖惠方》）,玄參
鼻中生瘡,玄參末塗之，或以水浸軟，塞之。（《衛生易簡方》）,玄參
三焦積熱,玄參、黃連、大黃各一兩。爲末，煉蜜丸梧子大。每服三、四十丸，白湯下。,玄參
小腸疝氣,黑參 咀，炒，爲丸。每服一錢半，空心酒服，出汗即效。（孫天仁《集效方》）,玄參
頌曰,初入瓶中封固，煮一伏時，破瓶取搗入蜜，别以瓶盛，埋地中 過用。亦可熏衣。,玄參
男女吐血,地榆三兩。米醋一升，煮十餘沸，去滓，食前稍熱服一合。（《聖惠方》）婦人漏下，赤白不止，令人黃瘦。方同上。,地榆
血痢不止,地榆曬研。每服二錢，摻在羊血上，炙熟食之，以撚頭煎湯送下,地榆
血痢不止,以地榆煮汁作飲，每服三合。（《聖濟》）赤白下痢，骨立者。地榆一斤。水三升，煮一升半，去滓，再煎如稠饧，絞濾，空腹服三合，日再服。（崔元亮《海上方》）,地榆
久病腸風,痛癢不止。,地榆
結陰下血,腹痛不已。地榆四兩，炙甘草三兩。每服五錢，水三盞，入縮砂仁七枚，煎一盞半，分二服。（《宣明方》）,地榆
小兒疳痢,地榆煮汁，熬如饴糖，與服便已。（《肘後方》）,地榆
毒蛇螫人,新地榆根搗汁飲，兼以漬瘡。（《肘後方》）,地榆
虎犬咬傷,地榆煮汁飲，并爲末敷之。亦可爲末，白湯服，日三。忌酒。（《梅師方》）,地榆
代指腫痛,地榆煮汁漬之，半日癒。（《千金翼》）,地榆
小兒濕瘡,地榆煮濃汁，日洗二次。（《千金方》）,地榆
